"","chemical.id","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"1",1174,"0",0.5813,1,1,1,0.5813,0.751,0.751,0.751,0.751,0.751,0.751,0.689,1,1,0.751,0.751,1,1,0.751,1,1,1,0.689,0.5763
"2",1174,"1",0.8701,1,1,1,0.8701,0.1157,0.1157,0.0663,0.1971,0.1971,0.3254,0.2393,0.1308,0.1308,0.1971,0.1971,0.1308,0.1308,0.3254,0.1308,0.1308,0.1308,0.1535,0.5843
"3",1174,"5",0.9111,1,1,1,0.8628,0.7566,1,0.7566,1,1,1,0.8806,1,1,1,1,1,1,1,1,1,1,0.882,0.8925
"4",1174,"10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
