"chemical.id","chemical.name","ks.pval","delta","n.fish","n.MO24","perc.MO24","ordinality","binary","B","E","R"
"1174","Benzo[a]pyrene",0.000630874900231393,-1,215,41,19.0697674418605,-1,-1,NA,10,NA
"1174","Benzo[a]pyrene",NA,NA,NA,NA,NA,0,0,NA,NA,NA
