chemical.id,bottle.id,conc,plate.id,well,total.dist
1174,P215706,0,25484,G01,3.15551613731891
1174,P215706,0,25484,G02,0.0055161291953697
1174,P215706,0,25484,G03,0.220172041626547
1174,P215706,0,25484,G04,0.115247308526949
1174,P215706,0,25484,G05,0.00505376334792824
1174,P215706,0,25484,G06,0.0288924727068153
1174,P215706,0,25484,G07,0.169892472525438
1174,P215706,0,25484,G08,0.0606021496757704
1174,P215706,0,25484,G09,0
1174,P215706,0,25484,G10,0
1174,P215706,0,25484,G11,0.0660752682315727
1174,P215706,0,25484,G12,NA
1174,P215706,0,25484,H01,0
1174,P215706,0,25484,H02,0.594043012177672
1174,P215706,0,25484,H03,0.278451612960267
1174,P215706,0,25484,H04,0.171150537508149
1174,P215706,0,25484,H05,0.0119462370552043
1174,P215706,0,25484,H06,0.0224731188788209
1174,P215706,0,25484,H07,0.199322580009378
1174,P215706,0,25484,H08,1.90338709221412
1174,P215706,0,25484,H09,0.246430107182072
1174,P215706,0,25484,H10,0.0412473108178826
1174,P215706,0,25484,H11,0.0344301063206888
1174,P215706,0,25484,H12,0
1174,P215706,0,25485,G01,0.113053763625763
1174,P215706,0,25485,G02,0
1174,P215706,0,25485,G03,NA
1174,P215706,0,25485,G04,0.0562903223338948
1174,P215706,0,25485,G05,0.00808602122850315
1174,P215706,0,25485,G06,0
1174,P215706,0,25485,G07,0.0310537643249958
1174,P215706,0,25485,G08,0.00636559123954464
1174,P215706,0,25485,G09,NA
1174,P215706,0,25485,G10,0
1174,P215706,0,25485,G11,0.042483871682517
1174,P215706,0,25485,G12,0.000666666655771194
1174,P215706,0,25485,H01,0.00267741933304776
1174,P215706,0,25485,H02,0.00834408570681849
1174,P215706,0,25485,H03,NA
1174,P215706,0,25485,H04,0.014569892517982
1174,P215706,0,25485,H05,0.0314946232303496
1174,P215706,0,25485,H06,NA
1174,P215706,0,25485,H07,0.0119247309943681
1174,P215706,0,25485,H08,NA
1174,P215706,0,25485,H09,0.0120537635940377
1174,P215706,0,25485,H10,0.0140430111718434
1174,P215706,0,25485,H11,0
1174,P215706,0,25485,H12,0.0407096775629187
1174,P215706,0,25486,G01,0.925655909633685
1174,P215706,0,25486,G02,0.638290318750566
1174,P215706,0,25486,G03,0.430526879806352
1174,P215706,0,25486,G04,0.305279565674643
1174,P215706,0,25486,G05,0.356967740722241
1174,P215706,0,25486,G06,0.19637634364828
1174,P215706,0,25486,G07,0.560849461384037
1174,P215706,0,25486,G08,0.314354840305544
1174,P215706,0,25486,G09,0.103817204834633
1174,P215706,0,25486,G10,0.137354840073855
1174,P215706,0,25486,G11,0.132258065034866
1174,P215706,0,25486,G12,0.13363440835508
1174,P215706,0,25486,H01,0.134655913157809
1174,P215706,0,25486,H02,0.199935483095306
1174,P215706,0,25486,H03,2.45918278636471
1174,P215706,0,25486,H04,0.15916129157588
1174,P215706,0,25486,H05,0.1591505371635
1174,P215706,0,25486,H06,0.209247310715978
1174,P215706,0,25486,H07,0.189107523009341
1174,P215706,0,25486,H08,0.0537956983491939
1174,P215706,0,25486,H09,0.163387096416886
1174,P215706,0,25486,H10,0.105602151283654
1174,P215706,0,25486,H11,0.174774194516802
1174,P215706,0,25486,H12,0.106150537689206
1174,P215706,0,25487,G01,0.148387095380214
1174,P215706,0,25487,G02,0.133204301398608
1174,P215706,0,25487,G03,0.0779247315981055
1174,P215706,0,25487,G04,0.0191505378292453
1174,P215706,0,25487,G05,0.0764086022572492
1174,P215706,0,25487,G06,0.27352688617764
1174,P215706,0,25487,G07,0.48260215237256
1174,P215706,0,25487,G08,0.49159139062288
1174,P215706,0,25487,G09,0.0320752700490336
1174,P215706,0,25487,G10,0.210763442239934
1174,P215706,0,25487,G11,0.106591398196836
1174,P215706,0,25487,G12,0.569935488805015
1174,P215706,0,25487,H01,0.043516128854726
1174,P215706,0,25487,H02,0.0368817213882683
1174,P215706,0,25487,H03,0
1174,P215706,0,25487,H04,0.0259247312462458
1174,P215706,0,25487,H05,0.0930967741115118
1174,P215706,0,25487,H06,0.044967743097454
1174,P215706,0,25487,H07,0
1174,P215706,0,25487,H08,0.0798387093048904
1174,P215706,0,25487,H09,0.463881720137853
1174,P215706,0,25487,H10,0.00211827953656514
1174,P215706,0,25487,H11,0.164322579219457
1174,P215706,0,25487,H12,0
1174,P215706,0,25488,G01,0.0643010737915193
1174,P215706,0,25488,G02,0.0883763432502747
1174,P215706,0,25488,G03,0.324774193387198
1174,P215706,0,25488,G04,0.438838708384704
1174,P215706,0,25488,G05,0.0218279573225206
1174,P215706,0,25488,G06,0.957559131326214
1174,P215706,0,25488,G07,0.132860214078939
1174,P215706,0,25488,G08,0.352559142455619
1174,P215706,0,25488,G09,0.177881720565981
1174,P215706,0,25488,G10,0.186526883033014
1174,P215706,0,25488,G11,0.670591400675876
1174,P215706,0,25488,G12,0.0793978495783703
1174,P215706,0,25488,H01,0.0605376342772156
1174,P215706,0,25488,H02,0.0950537621173807
1174,P215706,0,25488,H03,0.0920752693087824
1174,P215706,0,25488,H04,0.816043011203248
1174,P215706,0,25488,H05,0.219806450909825
1174,P215706,0,25488,H06,0.442602150783103
1174,P215706,0,25488,H07,0
1174,P215706,0,25488,H08,0.109989247324887
1174,P215706,0,25488,H09,1.90823656432731
1174,P215706,0,25488,H10,0.109215054380637
1174,P215706,0,25488,H11,0.18913978448398
1174,P215706,0,25488,H12,0.181354839955607
1174,P215706,0,25489,G01,0.124559139932997
1174,P215706,0,25489,G02,0.337774196379287
1174,P215706,0,25489,G03,NA
1174,P215706,0,25489,G04,0.500537635738491
1174,P215706,0,25489,G05,0.0555591408603935
1174,P215706,0,25489,G06,0.0600752684297741
1174,P215706,0,25489,G07,0.576655913364663
1174,P215706,0,25489,G08,0.374236560196325
1174,P215706,0,25489,G09,0.429784948386813
1174,P215706,0,25489,G10,0.187924729239556
1174,P215706,0,25489,G11,0.00655913977853713
1174,P215706,0,25489,G12,0.0609247309546317
1174,P215706,0,25489,H01,0.302247314658817
1174,P215706,0,25489,H02,0.115537635020671
1174,P215706,0,25489,H03,0.180053761108748
1174,P215706,0,25489,H04,0.0951827977213167
1174,P215706,0,25489,H05,0.101258063668846
1174,P215706,0,25489,H06,0.239591396543928
1174,P215706,0,25489,H07,NA
1174,P215706,0,25489,H08,0.06073118073325
1174,P215706,0,25489,H09,0.18403225806692
1174,P215706,0,25489,H10,0.0573333325565502
1174,P215706,0,25489,H11,0.139118282144429
