"chemical.id","chemical.name","conc","count","org_ss","ss_more_70perc","Peak.no","Peak_dist","Peak.pval","PeakDiff","significance p<0.05","Peak_response_in_ctrl_QC"
"1174","Benzo[a]pyrene",0,204,215,TRUE,"4",2.922,1,0,NA,NA
"1174","Benzo[a]pyrene",1,210,213,TRUE,"4",2.416,0.01,-17.345,"YES",NA
"1174","Benzo[a]pyrene",10,172,215,TRUE,"4",2.774,0.549,-5.087,NA,NA
"1174","Benzo[a]pyrene",5,202,214,TRUE,"4",2.135,0.002,-26.943,"YES",NA
