"chemical.id","bottle.id","conc","date","plate.id","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92"
1174,"P215706",0,20220506,25484,"G01",1.47099995613098,2.59100008010864,2.75,12,5.88899999856948,2.49200010299683,3.65000009536743,2.18600010871887,3.6399998664856,4.47399997711182,5.12599992752075,2.90499997138977,2.95700001716614,5.65000009536743,5.02700009942054,3.53299993276596,1.98199999332428,3.48099994659424,1.71200001239777,2.26100008189679,4.25700008869172,1.16299998760223,1.48600000143051,1.64599996805191,3.42400002479553,4.57800006866455,5.32199984788895,5.55200010538102,2.69099998474121,3.89199995994568,4.27400010824203,0,0,1.20000004768372,2.66100001335144,5.13699996471405,3.98399996757507,2.13899993896484,4.74700021743774,1.5,2.78600001335144,2.68199992179871,4.82099986076355,2.72399997711182,0,3.86899992823601,4.59600016474724,5.62099981307983,3.58999997377395,2.32299995422363,3.48900008201599,0.999000012874603,3.26199996471405,7.3930002450943,4.25600004196167,0.469999998807907,3.37400007247925,2.56699991226196,1.42799997329712,1.99300003051758,2.13400004804134,1.23099994659424,2.91199994087219,0.64300000667572,0.314999997615814,0.519999980926514,0.952000021934509,5.67300008237362,5.21299982070923,4.36800003051758,2.99799990653992,5.41600012779236,0.150000002235174,1.17799997329712,0.962999999523163,1.04500003159046,6.31099987030029,4.74099987745285,2.38499999046326,2.36100006103516,2.62400007247925,3.67599999904633,4.66899994015694,1.62100005149841,3.49500000476837,5.32100009918213,0.409999996423721,0.628000020980835,1.72200000286102,2.9449999332428,5.46900016069412,4.90900021791458,6.79200005531311
1174,"P215706",0,20220506,25484,"G02",0,0,0,0,0,0.374000012874603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419999994337559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0970000028610229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25484,"G03",0,0,0,3.20600001513958,0,0,0.321000009775162,0,0,0,0,0,0,4.10399985127151,0.577000021934509,0,0,0,0,0,0,0,0,0.354000002145767,0,0,0,0.159999996423721,0,0,0,0,0,0,0.211999997496605,0.202999994158745,0.164000004529953,0,0,0,0,0,0,0,0,0.144999995827675,0,0.177000001072884,0.115000002086163,0.0719999969005585,0,0,0,3.62799990549684,0,0,0,0,0,0,0,0,0,3.27800011634827,0,0,0,0,0,0,0.0879999995231628,0.294999986886978,0.523999989032745,0.643999993801117,0,0,0,0,0.381999999284744,0,0,0,0,0.127000004053116,0,0,0,0,0,0.400999993085861,1.05599999427795,0.243000000715256,0
1174,"P215706",0,20220506,25484,"G04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05999994277954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42999989539384,0,0,0,0,0,0,0,0.144999995827675,0,1.66299995779991,0,0,0,0,0,0,0,0,0,1.74399994686246,0,0,0,0,0,0,0,0.224999994039536,0,1.87999998033047,0,0,0,0,0,0,0,1.57099997997284,0
1174,"P215706",0,20220506,25484,"G05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268999993801117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769999995827675,0.123999997973442,0,0,0,0,0
1174,"P215706",0,20220506,25484,"G06",0,0,0,2.51799996197224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168999999761581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25484,"G07",0,0,0,3.92999994009733,0,0,0,0.229000002145767,0.119000002741814,0.129999995231628,0.575999975204468,0,0.0540000014007092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517000019550323,0,0,0.375,0.375,0.563000023365021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229000002145767,1.19500005245209,0.916999995708466,0,0,0,0,0,0.875999987125397,0,0,0,0,0,0.0379999987781048,0.158000007271767,0,1.28199994564056,0,0.672999978065491,1.02799999713898,0.632000029087067,0.229000002145767,0,0,0,0,0,0,0,0,0,0,0,0,0.319000005722046,0.158999994397163,0,0.476999998092651,0,0,0.0989999994635582,0.229000002145767,0,0,0,0,0.391999989748001
1174,"P215706",0,20220506,25484,"G08",0,0,0,4.35599994659423,0.73799997754395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068000003695488,0,0,0,0,0,0,0.277999997138977,0.195999994874001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25484,"G09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P215706",0,20220506,25484,"G10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
