bottle.id,casrn,chemical.id,chemical.name,plate.id,conc,well,EPR_max,MO24,any.effect,L1,D1,L2,D2,L3,D3,LPR_light_mean,LPR_dark_mean
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,A05,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,B05,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,C05,37.8256,0,0,0.0530000001192093,4.70055000456052,0.75354999005794,18.7084501504898,2.23274999856952,6.69214998483655,1.013,10.034
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,D05,22.2222,0,0,1.05515000224113,30.1499999716878,1.87220002003014,20.8073501877487,0.619550006091603,17.0687499433756,1.182,22.675
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,E05,28.9713,0,0,1.39044996183366,29.1335501164198,17.7788000643253,28.0432500176132,4.16080016940838,33.3700000375509,7.777,30.182
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,F05,44.0538,0,0,0.0753999993205069,22.8514000117779,3.02109997160731,15.8672499667853,2.03314997628333,15.4424499366432,1.71,18.054
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,G05,26.3889,0,0,0.022300000488758,8.37589998096229,0.90210001133382,7.2437500294298,0.229950002208355,4.45100000770762,0.385,6.69
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,H05,39.171,0,0,0.829299998283387,3.96519997566938,0.728500013053417,8.2188000112772,1.36394999921322,5.84075007438661,0.974,6.008
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,A06,0,0,0,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,B06,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,C06,35.6771,0,0,0.0755499992519613,0,0.14940000474453,1.02120002806186,0.348400003463035,0.955600003898142,0.191,0.659
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,D06,16.6667,0,0,0.400349998474121,10.7695000737906,0.931299986690281,7.49600006639959,0.464049996435638,5.76754994876683,0.599,8.011
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,E06,24.6745,0,0,0.133500003814697,18.2950999151915,1.19630001187324,8.74959999620914,0.737999988347298,2.45370000228286,0.689,9.833
P215706,50-32-8,1174,Benzo[a]pyrene,25484,1,F06,17.0139,0,0,7.86884983330966,0.710100000351667,1.04530001506209,5.29724996183067,0.346049993671481,14.7575000375509,3.087,6.922
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,G06,30.5122,0,0,3.58429998606444,32.2709999734536,1.3277499936521,26.0136002480984,9.6400499522686,21.3882000105455,4.851,26.558
P215706,50-32-8,1174,Benzo[a]pyrene,25484,0,H06,42.5347,0,0,0.1456000007689,6.69369997791946,2.62600003443657,0.256700005754829,0.755199998244647,2.63040000721812,1.176,3.194
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,A07,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,10,B07,NA,1,1,0,0,0,0,0,0,0,0
P215706,50-32-8,1174,Benzo[a]pyrene,25484,5,C07,32.9644,0,0,0.110899996757507,0.43880001306534,0,0.673400004487482,0.177200004458429,2.24900001101196,0.096,1.12
