"chemical.id","chemical.name","conc","Interval","Movement.peak","Movement.sd","Movement.n","ks.stat","ks.pval","diff","delta","sig"
"1174","Benzo[a]pyrene",0,"B",1.3879138447104,6.21661822083035,423,0,1,0,0,0
"1174","Benzo[a]pyrene",0,"E",4.52722782047872,11.3737487134303,423,0,1,0,0,0
"1174","Benzo[a]pyrene",0,"R",0.29250699950133,2.5879372956861,376,0,1,0,0,0
"1174","Benzo[a]pyrene",1,"B",1.77433222502955,6.66023142139957,423,0.0283687943262411,0.995676539556672,0.386418380319149,0.278416691203032,0
"1174","Benzo[a]pyrene",1,"E",4.81493766341608,11.5699252252204,423,0.0591016548463357,0.450976853151676,0.287709842937352,0.0635509972871056,0
"1174","Benzo[a]pyrene",1,"R",0.439164625664894,3.64041429331576,376,0.00797872340425532,1,0.146657626163564,0.501381595700574,0
"1174","Benzo[a]pyrene",5,"B",1.91971885402199,7.09345347782331,432,0.0290583136327817,0.993661409884379,0.531805009311589,0.383168603251849,0
"1174","Benzo[a]pyrene",5,"E",5.17321918142361,12.8012686610213,432,0.0504826635145784,0.64735001769291,0.645991360944888,0.142690270196426,0
"1174","Benzo[a]pyrene",5,"R",0.246005328776042,2.37496820736389,384,0.00731382978723407,1,-0.0465016707252881,-0.158976266566492,0
"1174","Benzo[a]pyrene",10,"B",0,0,81,0.0969267139479905,0.545488301082485,-1.3879138447104,-1,0
"1174","Benzo[a]pyrene",10,"E",0,0,81,0.243498817966903,0.000630874900231393,-4.52722782047872,-1,1
"1174","Benzo[a]pyrene",10,"R",0,0,72,0.0239361702127659,0.999999999999995,-0.29250699950133,-1,0
