"chemical.id","bottle.id","conc","plate.id","well","variable","value"
1174,"P737470",0,19737,"A01","t0",0
1174,"P737470",0,19737,"A02","t0",0
1174,"P737470",0,19737,"A03","t0",0
1174,"P737470",0,19737,"A04","t0",0
1174,"P737470",0,19737,"A05","t0",0
1174,"P737470",0,19737,"A06","t0",0
1174,"P737470",0,19737,"A07","t0",0
1174,"P737470",0,19737,"A08","t0",0
1174,"P737470",0,19737,"A09","t0",1.94400000572205
1174,"P737470",0,19737,"A10","t0",0
1174,"P737470",0,19737,"A11","t0",0
1174,"P737470",0,19737,"A12","t0",0
1174,"P737470",0,19737,"B01","t0",0
1174,"P737470",0,19737,"B02","t0",0
1174,"P737470",0,19737,"B03","t0",0
1174,"P737470",0,19737,"B04","t0",0
1174,"P737470",0,19737,"B05","t0",NA
1174,"P737470",0,19737,"B06","t0",0
1174,"P737470",0,19737,"B07","t0",0
1174,"P737470",0,19737,"B08","t0",0
1174,"P737470",0,19737,"B09","t0",0
1174,"P737470",0,19737,"B10","t0",0
1174,"P737470",0,19737,"B11","t0",0
1174,"P737470",0,19737,"B12","t0",0
1174,"P737470",0,19738,"A01","t0",0
1174,"P737470",0,19738,"A02","t0",0
1174,"P737470",0,19738,"A03","t0",0
1174,"P737470",0,19738,"A04","t0",0
1174,"P737470",0,19738,"A05","t0",0
1174,"P737470",0,19738,"A06","t0",0
1174,"P737470",0,19738,"A07","t0",0
1174,"P737470",0,19738,"A08","t0",0
1174,"P737470",0,19738,"A09","t0",0
1174,"P737470",0,19738,"A10","t0",0
1174,"P737470",0,19738,"A11","t0",0
1174,"P737470",0,19738,"A12","t0",0
1174,"P737470",0,19738,"B01","t0",0
1174,"P737470",0,19738,"B02","t0",0
1174,"P737470",0,19738,"B03","t0",0
1174,"P737470",0,19738,"B04","t0",0
1174,"P737470",0,19738,"B05","t0",0
1174,"P737470",0,19738,"B06","t0",0
1174,"P737470",0,19738,"B07","t0",0
1174,"P737470",0,19738,"B08","t0",0
1174,"P737470",0,19738,"B09","t0",0
1174,"P737470",0,19738,"B10","t0",0
1174,"P737470",0,19738,"B11","t0",0
1174,"P737470",0,19738,"B12","t0",0
1174,"P737470",0,19842,"A01","t0",0.236000001430511
1174,"P737470",0,19842,"A02","t0",0
1174,"P737470",0,19842,"A03","t0",NA
1174,"P737470",0,19842,"A04","t0",0
1174,"P737470",0,19842,"A05","t0",0
1174,"P737470",0,19842,"A06","t0",NA
1174,"P737470",0,19842,"A07","t0",NA
1174,"P737470",0,19842,"A08","t0",0
1174,"P737470",0,19842,"A09","t0",0
1174,"P737470",0,19842,"A10","t0",0
