chemical.id,bottle.id,conc,plate.id,well,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50
1174,P737470,10,19902,H01,0,0,6.3585129375,0,0,0,0,4.166665625,9.13629,0,0,0,0,0,16.341164375,0,0,7.4001779375,0,0,0,0,4.86110625,11.3281523125,0,1.7361125,7.3784621875,0,0,7.6388871875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H02,14.97395375,0,0,0,0,0,0,0,0,0.80295,14.0191045,0,0,0,0,0,10.8289871875,0,0,0,0,0,0,0,0,0.0434028125,13.7369875,0,0,0,0,0,22.460935375,22.04860625,35.5468934375,30.0347554375,1.171876375,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H03,0,0.021701375,0,4.1232635625,0,0,0,9.89582325,0,0,0,0,12.0442466875,0,0,0,0,0,0.2387153125,12.868937125,0,0,9.874125,3.0598959375,0,0,0,0,0,5.4036454375,0.108507,0,0,0,0,0,9.7656254375,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H04,0,0,0.021701375,15.2560603125,0,0,0,0,0,0,20.768219375,0,0,0,0,16.384563125,0,0,0,18.9670346875,0,0,0,0,0,16.3411391875,0,0,0,20.2907791875,0,0,0,6.7708278125,11.54514375,4.492185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H05,0,0,0,7.421877,0.0651041875,0,0,0,0,10.39495,1.2152784375,0,0,8.420139375,0.3255209375,0,8.5720361875,0.021701375,0,0,5.05641075,6.72742875,0.021701375,0,14.496525,0,0,0,8.8758715625,1.3237850625,7.725695625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H06,7.5520840625,0.4340278125,6.20659625,0.2387153125,0,6.5321190625,0,14.40973375,0,0.021701375,5.2083325,0,0,5.4470478125,0,0,12.80380875,0.0651040625,0,8.74566875,0.17361125,0,11.8055684375,3.3854166875,5.924475,0.54253475,9.700521875,0.78124875,0,8.745668875,0,0,0,7.8342016875,0.04340275,8.1597090625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H07,4.600693125,0,0,0,17.6866190625,0,0,0,0,0,12.1093625,1.9748290625,0,0,0,0,0,16.666659375,2.2569446875,0,0,0,0,0,15.1041635625,0,0.021701375,0,0,0,0,18.31595625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H08,0,0,0,0,0,11.2847259375,1.23698125,14.45311075,0.6944446875,0,0,0,0,0,0,0,0,0,7.8125,11.8489475,0,0,0,15.73351875,0.021701375,0,0,0,0,0,0,5.94616875,1.88801875,12.0442415625,5.620659375,8.9192866875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,P737470,10,19902,H09,0,0,0,0,0,5.7508696875,0.021701375,0,6.6840353125,0.0651041875,0,0,0,0,0,0,1.128471875,5.2734356875,0,4.8611104375,0,5.62066,0,2.32204625,0,0,6.6840284375,8.5503544375,0,0,0,0,0,7.1180534375,3.5373249375,0.1519095,0,0,7.747395125,0,14.7135284375,7.2916698125,0,0,0.021701375,0,0,0,0,0
1174,P737470,10,19902,H10,14.3446246875,0.0434028125,0,0,0,0,0,0,0,0,0,11.02430375,0,0,0,0,0,0,0,0,12.1310625,2.5390634375,0,2.300346875,3.841145625,0,0,0,0,0,5.8810766875,11.588554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
