SARL_plateID,Expt_ID,Chemical_name,Microbiome_treat,BaP_uM,Sample,Extract_batch,Expt_plateID,Sample_well,Sample_row,Sample_col,Tube,CD1,Dissector,Dissect_result
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G02,3,1,G02,G,2,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1G03,3,1,G03,G,3,Lot163,Lot663,Kristin,partial
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2A02,3,2,A02,A,2,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2B03,3,2,B03,B,3,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C02,3,2,C02,C,2,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2E02,3,2,E02,E,2,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,10,P2G02,3,2,G02,G,2,Lot163,Lot663,Keaton,whole
19737,cv-BaP-16S-02,B[a]P,conventional,0,P3A02,3,3,A02,A,2,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,1,P3D02,3,3,D02,D,2,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,5,P3F02,3,3,F02,F,2,Lot163,Lot663,Austin,whole
19737,cv-BaP-16S-02,B[a]P,conventional,10,P3H02,3,3,H02,H,2,Lot163,Lot663,Austin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,0,P4B02,3,4,B02,B,2,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,1,P4D02,3,4,D02,D,2,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,5,P4F02,3,4,F02,F,2,Lot663,Lot163,Kristin,whole
19738,cv-BaP-16S-02,B[a]P,conventional,10,P4H02,3,4,H02,H,2,Lot663,Lot163,Kristin,whole
19902,cv-BaP-16S-03,B[a]P,conventional,1,P5C02,3,5,C02,C,2,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,5,P5E02,3,5,E02,E,2,Lot663,Lot163_1,Keaton,whole
19902,cv-BaP-16S-03,B[a]P,conventional,10,P5G02,3,5,G02,G,2,Lot663,Lot163_1,Keaton,whole
19903,cv-BaP-16S-03,B[a]P,conventional,0,P6A02,3,6,A02,A,2,Lot163,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,1,P6C02,3,6,C02,C,2,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,5,P6E02,3,6,E02,E,2,Lot163_1,Lot163,Austin,whole
19903,cv-BaP-16S-03,B[a]P,conventional,10,P6G02,3,6,G02,G,2,Lot163_1,Lot163,Austin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,1,P1C03,4,1,C03,C,3,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,5,P1E03,4,1,E03,E,3,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H02,4,1,H02,H,2,Lot163,Lot663,Kristin,whole
19842,cv-BaP-16S-01,B[a]P,conventional,10,P1H03,4,1,H03,H,3,Lot163,Lot663,Kristin,whole
19843,cv-BaP-16S-01,B[a]P,conventional,0,P2B02,4,2,B02,B,2,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2C03,4,2,C03,C,3,Lot163,Lot663,Keaton,whole
19843,cv-BaP-16S-01,B[a]P,conventional,1,P2D02,4,2,D02,D,2,Lot163,Lot663,Keaton,partial
19843,cv-BaP-16S-01,B[a]P,conventional,5,P2F02,4,2,F02,F,2,Lot163,Lot663,Keaton,whole
