"chemical.id","endpoints","conc","total.hits","non.sig.hits","sig.hits"
"P737470_20200206","EYE_","10","0","0",0
"P737470_20200206","SNOU","0","0","0",0
"P737470_20200206","SNOU","1","0","0",0
"P737470_20200206","SNOU","5","0","0",0
"P737470_20200206","SNOU","10","0","0",0
"P737470_20200206","JAW_","0","0","0",0
"P737470_20200206","JAW_","1","0","0",0
"P737470_20200206","JAW_","5","0","0",0
"P737470_20200206","JAW_","10","0","0",0
"P737470_20200206","OTIC","0","0","0",0
"P737470_20200206","OTIC","1","0","0",0
"P737470_20200206","OTIC","5","0","0",0
"P737470_20200206","OTIC","10","0","0",0
"P737470_20200206","PE__","0","1","1",0
"P737470_20200206","PE__","1","0","0",0
"P737470_20200206","PE__","5","1","1",0
"P737470_20200206","PE__","10","0","0",0
"P737470_20200206","BRAI","0","0","0",0
"P737470_20200206","BRAI","1","0","0",0
"P737470_20200206","BRAI","5","0","0",0
"P737470_20200206","BRAI","10","0","0",0
"P737470_20200206","SOMI","0","0","0",0
"P737470_20200206","SOMI","1","0","0",0
"P737470_20200206","SOMI","5","0","0",0
"P737470_20200206","SOMI","10","0","0",0
"P737470_20200206","PFIN","0","0","0",0
"P737470_20200206","PFIN","1","0","0",0
"P737470_20200206","PFIN","5","0","0",0
"P737470_20200206","PFIN","10","0","0",0
"P737470_20200206","CFIN","0","0","0",0
"P737470_20200206","CFIN","1","0","0",0
"P737470_20200206","CFIN","5","0","0",0
"P737470_20200206","CFIN","10","0","0",0
"P737470_20200206","PIG_","0","0","0",0
"P737470_20200206","PIG_","1","0","0",0
"P737470_20200206","PIG_","5","0","0",0
"P737470_20200206","PIG_","10","0","0",0
"P737470_20200206","CIRC","0","0","0",0
"P737470_20200206","CIRC","1","0","0",0
"P737470_20200206","CIRC","5","0","0",0
"P737470_20200206","CIRC","10","0","0",0
"P737470_20200206","TRUN","0","0","0",0
"P737470_20200206","TRUN","1","0","0",0
"P737470_20200206","TRUN","5","0","0",0
"P737470_20200206","TRUN","10","0","0",0
"P737470_20200206","SWIM","0","0","0",0
"P737470_20200206","SWIM","1","0","0",0
"P737470_20200206","SWIM","5","0","0",0
"P737470_20200206","SWIM","10","0","0",0
"P737470_20200206","NC__","0","0","0",0
"P737470_20200206","NC__","1","0","0",0
"P737470_20200206","NC__","5","0","0",0
"P737470_20200206","NC__","10","0","0",0
"P737470_20200206","TR__","0","0","0",0
"P737470_20200206","TR__","1","0","0",0
"P737470_20200206","TR__","5","0","0",0
"P737470_20200206","TR__","10","0","0",0
"P737470_20200206","any.except.MORT","0","1","1",0
"P737470_20200206","any.except.MORT","1","0","0",0
"P737470_20200206","any.except.MORT","5","1","1",0
"P737470_20200206","any.except.MORT","10","0","0",0
"P737470_20200206","any.effect","0","1","1",0
"P737470_20200206","any.effect","1","4","4",0
"P737470_20200206","any.effect","5","1","1",0
"P737470_20200206","any.effect","10","0","0",0
"P737470_20200227","MO24","0","2","2",0
"P737470_20200227","MO24","1","0","0",0
"P737470_20200227","MO24","5","2","2",0
"P737470_20200227","MO24","10","0","0",0
"P737470_20200227","DP24","0","0","0",0
"P737470_20200227","DP24","1","0","0",0
"P737470_20200227","DP24","5","0","0",0
"P737470_20200227","DP24","10","0","0",0
"P737470_20200227","SM24","0","0","0",0
"P737470_20200227","SM24","1","0","0",0
"P737470_20200227","SM24","5","0","0",0
"P737470_20200227","SM24","10","0","0",0
"P737470_20200227","NC24","0","0","0",0
"P737470_20200227","NC24","1","0","0",0
"P737470_20200227","NC24","5","0","0",0
"P737470_20200227","NC24","10","0","0",0
"P737470_20200227","MORT","0","2","2",0
"P737470_20200227","MORT","1","0","0",0
"P737470_20200227","MORT","5","2","2",0
"P737470_20200227","MORT","10","1","1",0
"P737470_20200227","YSE_","0","0","0",0
"P737470_20200227","YSE_","1","3","3",0
"P737470_20200227","YSE_","5","0","0",0
"P737470_20200227","YSE_","10","0","0",0
"P737470_20200227","AXIS","0","0","0",0
"P737470_20200227","AXIS","1","3","3",0
"P737470_20200227","AXIS","5","0","0",0
"P737470_20200227","AXIS","10","0","0",0
"P737470_20200227","EYE_","0","0","0",0
"P737470_20200227","EYE_","1","4","4",0
"P737470_20200227","EYE_","5","0","0",0
"P737470_20200227","EYE_","10","0","0",0
"P737470_20200227","SNOU","0","0","0",0
"P737470_20200227","SNOU","1","3","3",0
"P737470_20200227","SNOU","5","0","0",0
"P737470_20200227","SNOU","10","0","0",0
"P737470_20200227","JAW_","0","0","0",0
"P737470_20200227","JAW_","1","3","3",0
"P737470_20200227","JAW_","5","0","0",0
"P737470_20200227","JAW_","10","0","0",0
"P737470_20200227","OTIC","0","0","0",0
"P737470_20200227","OTIC","1","3","3",0
"P737470_20200227","OTIC","5","0","0",0
"P737470_20200227","OTIC","10","0","0",0
"P737470_20200227","PE__","0","0","0",0
"P737470_20200227","PE__","1","4","4",0
"P737470_20200227","PE__","5","0","0",0
"P737470_20200227","PE__","10","0","0",0
"P737470_20200227","BRAI","0","0","0",0
"P737470_20200227","BRAI","1","3","3",0
"P737470_20200227","BRAI","5","0","0",0
"P737470_20200227","BRAI","10","0","0",0
"P737470_20200227","SOMI","0","0","0",0
"P737470_20200227","SOMI","1","3","3",0
"P737470_20200227","SOMI","5","0","0",0
"P737470_20200227","SOMI","10","0","0",0
"P737470_20200227","PFIN","0","0","0",0
"P737470_20200227","PFIN","1","3","3",0
"P737470_20200227","PFIN","5","0","0",0
"P737470_20200227","PFIN","10","0","0",0
"P737470_20200227","CFIN","0","0","0",0
"P737470_20200227","CFIN","1","3","3",0
"P737470_20200227","CFIN","5","0","0",0
"P737470_20200227","CFIN","10","0","0",0
"P737470_20200227","PIG_","0","0","0",0
"P737470_20200227","PIG_","1","3","3",0
"P737470_20200227","PIG_","5","0","0",0
"P737470_20200227","PIG_","10","0","0",0
"P737470_20200227","CIRC","0","0","0",0
"P737470_20200227","CIRC","1","3","3",0
"P737470_20200227","CIRC","5","0","0",0
"P737470_20200227","CIRC","10","0","0",0
"P737470_20200227","TRUN","0","0","0",0
"P737470_20200227","TRUN","1","3","3",0
"P737470_20200227","TRUN","5","0","0",0
"P737470_20200227","TRUN","10","0","0",0
"P737470_20200227","SWIM","0","0","0",0
"P737470_20200227","SWIM","1","3","3",0
"P737470_20200227","SWIM","5","0","0",0
"P737470_20200227","SWIM","10","0","0",0
"P737470_20200227","NC__","0","0","0",0
"P737470_20200227","NC__","1","3","3",0
"P737470_20200227","NC__","5","0","0",0
"P737470_20200227","NC__","10","0","0",0
"P737470_20200227","TR__","0","0","0",0
"P737470_20200227","TR__","1","3","3",0
"P737470_20200227","TR__","5","0","0",0
"P737470_20200227","TR__","10","0","0",0
"P737470_20200227","any.except.MORT","0","0","0",0
"P737470_20200227","any.except.MORT","1","4","4",0
"P737470_20200227","any.except.MORT","5","0","0",0
"P737470_20200227","any.except.MORT","10","0","0",0
"P737470_20200227","any.effect","0","2","2",0
"P737470_20200227","any.effect","1","4","4",0
"P737470_20200227","any.effect","5","2","2",0
"P737470_20200227","any.effect","10","1","1",0
