chemical.id,bottle.id,conc,plate.id,well,total.dist
1174,P215706,0,25484,G01,3198.65699901152
1174,P215706,0,25484,G02,124.276999501511
1174,P215706,0,25484,G03,1065.80400130432
1174,P215706,0,25484,G04,707.528001754545
1174,P215706,0,25484,G05,348.796999827027
1174,P215706,0,25484,G06,1291.8460017927
1174,P215706,0,25484,G07,810.547000884079
1174,P215706,0,25484,G08,183.163000259548
1174,P215706,0,25484,G09,344.519001157023
1174,P215706,0,25484,G10,1383.64600235224
1174,P215706,0,25484,G11,191.363000594079
1174,P215706,0,25484,G12,0
1174,P215706,0,25484,H01,132.974000397138
1174,P215706,0,25484,H02,1310.41300540045
1174,P215706,0,25484,H03,530.212000200525
1174,P215706,0,25484,H04,635.506001845002
1174,P215706,0,25484,H05,525.102998778224
1174,P215706,0,25484,H06,162.213000319898
1174,P215706,0,25484,H07,806.176001163199
1174,P215706,0,25484,H08,1102.97300094739
1174,P215706,0,25484,H09,1201.90399898589
1174,P215706,0,25484,H10,403.716000696644
1174,P215706,0,25484,H11,486.622001100332
1174,P215706,0,25484,H12,194.608999917284
1174,P215706,0,25485,G01,301.783000057563
1174,P215706,0,25485,G02,507.184999143705
1174,P215706,0,25485,G03,0
1174,P215706,0,25485,G04,243.882998280227
1174,P215706,0,25485,G05,28.9300003089011
1174,P215706,0,25485,G06,48.7460001893341
1174,P215706,0,25485,G07,1305.37700184248
1174,P215706,0,25485,G08,176.609999097651
1174,P215706,0,25485,G09,0
1174,P215706,0,25485,G10,170.204999040812
1174,P215706,0,25485,G11,492.436999960802
1174,P215706,0,25485,G12,25.1549999788404
1174,P215706,0,25485,H01,1355.60999162029
1174,P215706,0,25485,H02,285.788000548258
1174,P215706,0,25485,H03,0
1174,P215706,0,25485,H04,102.370999761857
1174,P215706,0,25485,H05,46.0330001562834
1174,P215706,0,25485,H06,0
1174,P215706,0,25485,H07,43.2689999993891
1174,P215706,0,25485,H08,0
1174,P215706,0,25485,H09,862.575994607061
1174,P215706,0,25485,H10,309.645001704805
1174,P215706,0,25485,H11,798.580996584147
1174,P215706,0,25485,H12,150.952999471687
1174,P215706,0,25486,G01,2075.01499707997
1174,P215706,0,25486,G02,1353.13699758612
1174,P215706,0,25486,G03,1253.25500075147
1174,P215706,0,25486,G04,645.210001505911
1174,P215706,0,25486,G05,572.738999497145
1174,P215706,0,25486,G06,626.482000147924
1174,P215706,0,25486,G07,572.239999076351
1174,P215706,0,25486,G08,163.289999101311
1174,P215706,0,25486,G09,168.074999157339
1174,P215706,0,25486,G10,764.271999441087
1174,P215706,0,25486,G11,723.16600101348
1174,P215706,0,25486,G12,884.130003320053
1174,P215706,0,25486,H01,791.911999553442
1174,P215706,0,25486,H02,1790.86200179532
1174,P215706,0,25486,H03,1153.74399623834
1174,P215706,0,25486,H04,493.48200133536
1174,P215706,0,25486,H05,449.716000361368
1174,P215706,0,25486,H06,242.546000180766
1174,P215706,0,25486,H07,845.204999034759
1174,P215706,0,25486,H08,276.334998916835
1174,P215706,0,25486,H09,723.639003176242
1174,P215706,0,25486,H10,775.954004374333
1174,P215706,0,25486,H11,1153.26800302789
1174,P215706,0,25486,H12,1477.00699931011
1174,P215706,0,25487,G01,440.390999171883
1174,P215706,0,25487,G02,32.2960000857711
1174,P215706,0,25487,G03,664.81099979952
1174,P215706,0,25487,G04,88.2440000092611
1174,P215706,0,25487,G05,122.616999022663
1174,P215706,0,25487,G06,117.821999732405
