"chemical.id","bottle.id","conc","Light_Cycle_Pval","Dark_Cycle_Pval","Light_Cycle_AUC","Dark_Cycle_AUC","Light_Cycle_PercDiff","Dark_Cycle_PercDiff"
"1174","P737470","0","1","1","58.144","805.656","0","0"
"1174","P737470","1","0.3","0","62.524","852.851","7.533","5.858"
"1174","P737470","5","0","0","79.438","899.147","36.624","11.604"
"1174","P737470","10","0.631","0","59.354","888.689","2.083","10.306"
