"chemical.id","chemical.name","interval","total.no.conc","no.conc.used.for.analysis","no.conc.w.sig.hits","LEL"
"1174","Benzo[a]pyrene","Dark",4,8,3,1
"1174","Benzo[a]pyrene","Light",4,8,3,1
