"chemical.id","chemical.name","endpoint","ECvalues","Value","Std..Error","Lower","Upper","Comments"
"1174","Benzo[a]pyrene","MORT",NA,NA,NA,NA,NA,NA
"1174","Benzo[a]pyrene","any.effect",NA,NA,NA,NA,NA,NA
