bottle.id,casrn,chemical.id,chemical.name,plate.id,conc,well,EPR_max,MO24,any.effect,L1,L2,L3,D1,D2,D3,LPR_light_mean,LPR_dark_mean
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H04,28.4071,0,0,5.00450013950466,15.5340000018478,1.27399998903274,306.04150126502,327.68699991703,235.358500599861,7.271,289.696
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A05,5.5556,0,0,18.8339998722076,2.81250005960465,3.81750003062188,229.242000669241,130.769499650225,71.8200000301004,8.488,143.944
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B05,17.1658,0,0,7.05899998545647,3.71549999713897,41.0255002118647,267.504999101162,232.902000516653,259.83050107956,17.267,253.413
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C05,16.1675,0,0,23.4390000775456,107.586000557989,77.1860007345676,368.417998392135,363.592498898506,381.289501428604,69.404,371.1
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D05,15.1042,0,0,0,2.32900007069111,4.8255000114441,140.717500120401,195.627000510693,6.11699999310076,2.385,114.154
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E05,29.4271,0,0,0.916000008583069,2.24099999666214,0.910999976098538,30.9029998034239,150.562500594184,121.428000539541,1.356,100.965
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F05,55.3385,0,0,3.70300003886222,0.495999984443188,3.92650008201599,146.702499501407,191.723999679089,167.437999904156,2.709,168.621
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G05,53.277,0,0,2.36700010299682,12.9639997780323,3.0090000629425,319.132499754429,143.588501125574,330.135502636432,6.113,264.286
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H05,34.4184,0,0,12.1460001468658,18.5139999985695,5.26350009441375,328.300000965595,283.016498923302,255.023999631405,11.975,288.78
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A06,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B06,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C06,11.3932,0,0,64.4725004285574,26.4305000789464,6.6324999295175,214.359500288963,169.220000550151,65.2399994283915,32.512,149.607
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D06,12.4566,0,0,1.55300003290176,2.20349997282029,0,79.8114999532701,77.3390000164509,123.112999379635,1.252,93.421
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E06,19.77,0,0,42.3320001363754,8.30550009012222,3.27700001001358,384.084002502263,353.40750169754,303.720502052456,17.972,347.071
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F06,19.336,0,0,24.269999794662,29.3504993272945,15.9649999216199,206.003501731902,145.319999884814,138.164498772472,23.195,163.163
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G06,33.2899,0,0,8.73999992012978,13.0624997019768,9.3065000474453,392.052497923374,279.796000085771,159.449999816715,10.37,277.099
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H06,14.605,0,0,6.42800003290177,0,1.36500004678964,6.76000010967255,25.1159997582436,193.073998689651,2.598,74.983
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B07,31.1198,0,0,0.379000008106232,0.409000009298324,9.24850004911423,241.97600139305,229.860001802445,82.2809999212623,3.346,184.706
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C07,9.6137,0,0,0,0.721000015735625,7.05649963021279,125.492499887943,85.6890011429787,67.2639999389649,2.592,92.815
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D07,6.9444,0,0,1.70499996840954,5.00200009346008,13.0725002586841,384.411498054862,490.325502634048,287.994499742985,6.593,387.577
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E07,21.3759,0,0,0.275999993085861,0.819999992847442,40.7099995687604,219.889500319958,90.6494997218251,183.22600062564,13.935,164.588
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F07,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G07,34.3099,0,0,2.7960000038147,6.13999992609024,6.94399988651276,274.689498104155,246.460999488831,312.924500226974,5.293,278.025
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H07,44.0755,0,0,0,2.26399996876717,10.4985001087189,80.6755003966391,113.578999504447,132.601499798708,4.254,108.952
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A08,10.6988,0,0,6.90300005674362,9.78299988806246,7.75399994850159,0.568000018596649,0,1.16400003433228,8.147,0.577
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B08,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C08,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D08,15.1042,0,0,8.23999997228384,4.87149985134602,1.38800001144409,220.149500727654,242.105000127107,104.868998523802,4.833,189.041
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E08,19.0972,0,0,1.38100001215935,13.8129997253418,9.22749992460013,311.727500747889,265.222998894751,254.166500397027,8.14,277.039
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F08,70.3993,0,0,38.8919996395707,32.3814998567104,7.62599994242191,264.055499635637,462.093998432159,170.498499833048,26.3,298.883
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,G08,16.9922,0,0,46.0625005215406,11.6560001969337,8.16250002384186,500.639502763748,361.268001355231,295.698999121785,21.96,385.869
P737470,50-32-8,1174,Benzo[a]pyrene,19842,10,H08,18.316,0,0,0,0.447499990463257,0.185499995946884,97.2340003252029,324.960998654366,158.855000495911,0.211,193.683
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,A09,11.8924,0,0,10.8304998725653,5.09299989044666,16.6590000987053,93.5939992386848,202.401999231428,123.918000936508,10.861,139.971
P737470,50-32-8,1174,Benzo[a]pyrene,19842,0,B09,15.1259,0,0,15.6784996688366,35.9925000667572,5.87100005149841,198.683000966906,136.495001554489,53.4075009822845,19.181,129.529
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,C09,7.9427,0,0,1.74500000476837,3.57299995422363,3.37449997663498,320.302499115467,259.5269998312,257.315499603748,2.897,279.048
P737470,50-32-8,1174,Benzo[a]pyrene,19842,1,D09,17.3394,0,0,0.323000013828278,0,7.46799993515015,3.55399993062019,4.58400017023087,123.895000219345,2.597,44.011
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,E09,8.1814,0,0,0,2.25699994340539,16.7499999701977,168.335000991821,104.905500326306,130.433000076562,6.336,134.558
P737470,50-32-8,1174,Benzo[a]pyrene,19842,5,F09,34.7657,0,0,13.182000041008,22.7139998786151,43.3595004854724,421.14450109005,396.427498817444,306.810500264168,26.419,374.794
