"plate.id","vp_locationcode"
19842,"ZEBRABOX8"
19843,"ZEBRABOX7"
19737,"ZEBRABOX7"
19738,"ZEBRABOX8"
19902,"ZebraBox2"
19903,"ZebraBox3"
