"chemical.id","bottle.id","conc","plate.id","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92"
1174,"P737470",5,19902,"E09",0,0,0,4.77299976348877,0,0,0,0,0,0,0,3.38100004196167,2.37000005692244,0,0,0,0,0.361000001430511,0,0.444999992847443,0,4.19399976730347,0,1.31200000271201,0,3.16100007295609,0.0529999993741512,5.36100006103516,3.71799992024899,4.65699994564056,6.39300002157688,0,0,0,0,0,0,0,0,2.91700005531311,0.455000013113022,0,0.163000002503395,0,0,0,0.72299998998642,0,4.33299988508224,0,0,0,0,0,0,0,0,3.87700007855893,0,0,0,0,0,0,0,0,5.28999991714954,0,0,0,0,0,0.572000026702881,0,0,4.32099995017052,0,0,0,0,0,0,0,0,3.95000004768372,0.19200000166893,0,0.773000001907349,0,0,0,0,0
1174,"P737470",5,19902,"E10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1174,"P737470",5,19902,"E11",0,0,0,6.37799981981516,0,0,0,0,0,0,0,0,0.833000004291534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14400005340576,0,0,0,0,0,0.061999998986721,0.308999985456467,0.493999987840652,1.89999997615814,0,0,0,0.115000002086163,0,0,0,0,0,0,0,0,0,0,0,0.477999985218048,0,0.583000004291534,0,0,0,0,0,0,0,0,2.64699989557266,1.15499997138977,0.642000019550323,0,1.65000003576279,3.72500005364418,1.83200001716614,0.150999994948506,0,0,0,0,0,0,0,0,0,0,0,0.298000007867813,0,0,1.73500001430511,1.37000000476837,0,0,0.587999999523163
1174,"P737470",5,19902,"E12",0,0,0,0,0.828000009059906,0,0.647000014781952,0,0.123000003397465,0.493999987840652,0,0,0,0,0,0,0,0,0,0,0,0,0.885999977588654,0.808000028133392,0,0,0,0,0,0,0.596000015735626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64099988341331,0.895000040531158,0,0,0,0.970000028610229,0.785000026226044,2.56599998474121,0,0,0,0,0,0.389999985694885,0,0,0,0,0,0.123000003397465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611000001430511,0,0,0,0.236000001430511,0.29899999499321,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F01",1.04700005054474,0,0,3.52200004458427,0.537000000476837,0,0,0,0,0,0,2.40199995040894,0.464999999850988,0,0.273999989032745,0,0,0,0,0,0,1.40699994564056,0,0,0,0,0,0.123000003397465,0,0,1.182000041008,0,0,0,0,0.453000009059906,0,0,0,5.87999975681305,0,0,0,0,0,0,0.342000007629395,0.174999997019768,2.17500007152557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.02999997138977,0.0989999994635582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246999993920326,0.829999983310699,0.0240000002086163,0,0.925999999046326,0,0,0,0
1174,"P737470",5,19902,"F02",1.40699994564056,0.18299999833107,0,2.8199999332428,0,0,0,0,0,0,0.123000003397465,3.29999989271164,1.56600004434585,0,0,0,0,0,0,0,0,2.72900009155273,0.156000003218651,0,0,0.0390000008046627,0,0,0,0,2.70199993252754,0.523999989032745,0,0,0,0,0,0,0,5.05399990081787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843999981880188,0.0370000004768372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241999998688698,0,0,0
1174,"P737470",5,19902,"F03",0,0,0,2.16000008583069,0,0,0,0,0,0,0,2.20099997520447,0.610000014305115,0,0,0,0,0,0,0,0.587999999523163,1.09200000762939,0,0,0,0,1.15299999713898,0,0,0,0.949999988079071,0.0719999969005585,0,0,0,0,0,0,0,0.842999994754791,0,0,0.83899998664856,0.421000003814697,0,0,0,1.94400000572205,0.975000023841858,0,0,0,0.314999997615814,0.483999997377396,0.843999981880188,0,0,3.53700000047684,0.0480000004172325,0,0,0,0,0.653999984264374,0,1.79900002479553,1.23699997365475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1174,"P737470",5,19902,"F05",0,0,0,2.35999989509583,0,0,0,0,0,0.294999986886978,0,0,0.734000027179718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P737470",5,19902,"F06",0,0,0,0.469999998807907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42799997329712,0,0,0,0,0,0,0,0,1.6710000038147,0.96399998664856,0.538999974727631,1.47699999809265,0.488999992609024,0.162000000476837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
