"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470","P737470","Benzo[a]pyrene","50-32-8","0",143,130,130,130,143,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,143
"P737470","P737470","Benzo[a]pyrene","50-32-8","1",144,135,135,135,144,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,144
"P737470","P737470","Benzo[a]pyrene","50-32-8","5",142,134,134,134,142,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,134,142
"P737470","P737470","Benzo[a]pyrene","50-32-8","10",144,144,144,144,144,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,144,144
