"chemical.id","bottle.id","chemical.name","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470","P737470","Benzo[a]pyrene",0,9.09,0,0,0,9.09,0.77,0.77,0.77,0.77,0.77,0.77,1.54,0,0,0.77,0.77,0,0,0.77,0,0,0,1.54,10.49
"P737470","P737470","Benzo[a]pyrene",1,6.25,0,0,0,6.25,3.7,3.7,4.44,2.96,2.96,2.22,3.7,2.22,2.22,2.96,2.96,2.22,2.22,2.22,2.22,2.22,2.22,4.44,10.42
"P737470","P737470","Benzo[a]pyrene",5,5.63,0,0,0,6.34,0.75,0,0.75,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.75,7.04
"P737470","P737470","Benzo[a]pyrene",10,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69
