"chemical.id","bottle.id","chemical.name","casrn","conc","MO24","DP24","SM24","NC24","MORT","YSE_","AXIS","EYE_","SNOU","JAW_","OTIC","PE__","BRAI","SOMI","PFIN","CFIN","PIG_","CIRC","TRUN","SWIM","NC__","TR__","any.except.MORT","any.effect"
"P737470","P737470","Benzo[a]pyrene","50-32-8",0,13,0,0,0,13,1,1,1,1,1,1,2,0,0,1,1,0,0,1,0,0,0,2,15
"P737470","P737470","Benzo[a]pyrene","50-32-8",1,9,0,0,0,9,5,5,6,4,4,3,5,3,3,4,4,3,3,3,3,3,3,6,15
"P737470","P737470","Benzo[a]pyrene","50-32-8",5,8,0,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10
"P737470","P737470","Benzo[a]pyrene","50-32-8",10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
