"chemical.id","bottle.id","conc","plate.id","well","date","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","DNC_"
"P215706","P215706","0","25486","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25486","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25487","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25488","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H01","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H02","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G03","20220506",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","0","25489","H03","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H04","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H05","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H06","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G07","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H07","20220506",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"P215706","P215706","0","25489","G08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H08","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H09","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H10","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H11","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","G12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P215706","P215706","0","25489","H12","20220506",0,0,0,0,0,0,0,0,0,0,0,0,0,0
