"chemical.id","bottle.id","conc","plate.id","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201","t202","t203","t204","t205","t206","t207","t208","t209","t210","t211","t212","t213","t214","t215","t216","t217","t218","t219","t220","t221","t222","t223","t224","t225","t226","t227","t228","t229","t230","t231","t232","t233","t234","t235","t236","t237","t238","t239"
1174,"P98234",100,18312,"G01",0.185000002384186,0.423000007867813,0,0,0,0,0,0,0,4.45300006866455,0.611999988555908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607999980449677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580999970436096,2.02099990844727,1.11600005626678,2.07100009918213,1.10099995136261,2.8710000216961,0,0,0,0,0,0,0.666999995708466,0,0,0,0,0,0,0,0,0,0,0,1.4099999666214,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73700004816055,0.549000024795532,1.05599999427795,0,3.96800005435943,3.83799993991851,6.74700009822846,6.01300001144409,17.1179995536805,28.9690008163452,24.7400009632111,16.7040004730225,18.5909998416901,19.8090000152588,25.0969996452331,21.229001045227,24.8929991722107,20.4700005054474,19.6920003890991,30.0329999923706,17.6370005607605,18.5089998245239,21.043999671936,14.5699994564056,18.6079998016358,23.282000541687,19.375,18.5529999732971,12.8990004062652,13.9759998321533,19.6749994754791,21.5490007400512,26.3369998931885,18.6870002746582,13.5640001296997,3.53900003433228,1.80600000917912,1.50599998235703,0.912000000476837,1.49899995326996,2.97499990463257,0,0,0,0,0,0,0,0,0,0,0,0.680999994277954,0,0.773000001907349,0,1.37699997425079,0.705999970436096,1.11000001430511,1.30799996852875,5.25999993085861,1.68799996376038,0,0,22.1349997520447,16.5340005308389,11.1369998455048,10.268000125885,8.92400026321411,9.23700010776519,11.2120001316071,9.45199990272522,8.05699992179871,15.7870001792908,13.7729997634888,13.2889995574951,17.5820002555847,18.9399998188019,16.6680002212524,16.3229999542236,14.2419995069504,15.8470001220703,22.853000164032,6.1949999332428,2.8880000114441,0.898000001907349,3.97500002384186,3.70700001716614,8.23199987411499,10.4720001220703,16.3660001754761,15.7660002708435,12.6060004234314,14.4700002670288,12.441999912262,1.17999994754791,1.35800004005432,0.625,0,0,0,0,1.30400002002716,1.2940000295639,1.51800000667572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6710000038147,1.75699996948242,0,11.1159999370575,22.7730002403259,17.2860000133515,22.3970003128052,20.4100003242493,14.606999874115,21.2290008068085,16.5609998703003,23.9900002479553,40.0859994888305,0.528999984264374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G02",0.109999999403954,0.347000002861023,0.50900000333786,0,0,0,0.917999982833862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340999990701675,0.455000013113022,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64999997615814,0,0,0,0,0,0.734000027179718,0.310999989509583,0.379000008106232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061999998986721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869999974966049,0.246999993920326,0.640999972820282,0.78600001335144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629999995231628,0,0,0.788999974727631,1.56900000572205,0,0,0,0,0,0,0.275999993085861,0,0,0,0,0,0,0.446999996900558,0,0,0,0,0,4.80800008773803,0,0,0,0,0,0.33899998664856,0,0,0.505999982357025,0,1.48000001907349,0.30799999833107,0,0,0,0,0,1.18599998950958,0,0,0,0,0,0,0,0,0,0,0,0,0.601000010967255,0.451999992132187,0,0,0,0,0,0,0,0.796999990940094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44899988174438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254000008106232,0,0,0.707000017166138,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G03",0.870000004768372,0,0.566999971866608,0,0,0,0,0,0,1.09300005435944,0.814000010490417,0,0.697000026702881,0,0,0,0,0,0,0,0,0,0,2.75099992752075,0.865000009536743,1.28999996185303,0,0,0,0,0,0,0,0,0,0,0,0,6.88199973106384,17.253999710083,2.41100001335144,2.01700001955032,3.36299991607666,6.7059999704361,3.93900001049042,3.10799992084503,2.37299996614456,6.8360002040863,5.4879998266697,0,5.81399989128113,2.98400005698204,4.47499990463257,0.842999994754791,0.84799998998642,1.32700002193451,0,0,0,0.118000000715256,1.11300003528595,1.40199995040894,1.35599994659424,1.3309999704361,0,0,2.82100009918213,0.800999999046326,2.81399989128113,0.30799999833107,0.389999985694885,0,0,0,0,0,0,0,0,0,0,0.676999986171722,3.53699994087219,5.69900023937225,5.44699980318546,7.6509997844696,6.54399979114533,0.740000009536743,1.84899997711182,4.82199984788895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50799989700317,0,4.17299988865852,2.95600008964539,0.38400000333786,1.99699997901917,0.666999995708466,2.76999998092651,0,0,0,0,0,0,4.32099995017052,0.504999995231628,2.3289999961853,0.439999997615814,0,0.370000004768372,0.44200000166893,0.469999998807907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17399999499321,0,2.22199988365173,0,0.697000026702881,0,0,0.389999985694885,3.86700010299683,0,0.762999970465898,1.52900004386902,1.61899995803833,0,0,0,0,0,0,0,0,0,0,1.81599998474121,0,0,0,0,0.370000004768372,0,6.08500003814697,3.82500008493662,0.653999984264374,0,0,0,0,2.01200008392334,0,0,0,0,0.0570000000298023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916000008583069,0,0,4.41599988937378,2.75999999046326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5799996852875,1.11699998378754,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G04",5.02200023829937,2.61500000953674,0,0,0,0,0,0,0,0,0,0,0,0.871999979019165,1.5349999666214,2.58699989318848,6.54700005054474,1.54399997740984,2.38499999046326,2.39400005340576,5.66699981689453,0.605000019073486,0,0,0,0.389999985694885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66700008511544,0,0,0,0,0,0,0,0,0,0.746999979019165,0,0,0,0,0,0,0,0,0,0,0,0.995000004768372,0,0,1.07299995422363,0,0,0,0,0,0.755999982357025,0,0,0,0,0,0,0,0,0,0,0,0,0.347000002861023,0,0.546000003814697,1.70099997520447,1.97300004959106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54299998283386,0,0,14.2460002005101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374000012874603,1.43099999427795,1.2039999961853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1719999909401,0,0,0,0,0.901000022888184,0,0,0,0,0,0,2.12899994850159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G05",4.68599987030029,0.922999978065491,0,0.583999991416931,1.36199998855591,2.56299996376038,0,1.86899995803833,1.7380000166595,0.818000018596649,0,0,0,0.771000027656555,1.96200001239777,0,0.609000027179718,0,2.31000000238419,2.31100010871887,0,0,0.824000000953674,2.74800002574921,0,0,0.801999986171722,0,0.528999984264374,0,0,0,0,1.90799999237061,0,0.455000013113022,0,0,0,0.217999994754791,3.00200007855892,0,1.80399997532367,0,0,3.75899994373322,1.53899999707937,1.96300005912781,2.48099994659424,2.5379999987781,2.67199993133545,2.55799999833107,0.939999997615814,3.29099994897843,2.63700008392334,2.64899998903275,1.9559999704361,1.82600000500679,2.79499988257884,4.38600015640259,1.09599995613098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123000003397465,0,1.78200006484985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17399999499321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540000014007092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.481000006198883,0,0,0,0,0.759999990463257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07100009918213,0,0,0,0,0,0,0,0,0,0,6.37400005757808,0,0.811999976634979,0,0.412999987602234,0,2.44099998474121,7.14899969100952,0.794000029563904,0,2.26900005340576,0,4.63800001144409,2.18600010871887,0,0,0,0,0,0
1174,"P98234",100,18312,"G06",10.5279996395111,0.584999978542328,0,0,0,0,0,0,0,3.6739999987185,0,0,0,0,1.66700005531311,0,1.09800004959106,2.17600006610155,0.123000003397465,2.47099995613098,1.66300003230572,2.91299992799759,2.25299996137619,4.56800007820129,4.6800000667572,7.22999978065491,8.24299991130828,12.8740000724792,10.9279999732971,13.3810001015663,3.19599997997284,12.6979997158051,4.07599997520447,2.18600004911423,4.70699989795685,6.11299979686737,1.06700003147125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24499995261431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178000003099442,0.354000002145767,0,0.617999970912933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246999993920326,0.61599999666214,0.662000000476837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455000013113022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27999997138977,0.268999993801117,0,0.279000014066696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.745000004768372,0.239999994635582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103000000119209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32400000095367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26699995994568,0,0,0,0,0,0,0,0,1.92999994754791,0,0,0,0,0,0
1174,"P98234",100,18312,"G08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141000002622604,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00100016593933,0,0,0.894999980926514,0,0,0,0,0,0,4.36500000953674,0,0,3.97299991175532,2.93899989128113,11.8290004730225,28.3740005493164,37.3979995250702,24.4249992370606,34.1539998054505,12.5049998760223,0,0,0,0,1.11099994182587,0,0,0,0,0,0,0,0,0,0,0,0,1.51600003242493,0,0,0,0,0,6.40300023555755,0,2.77800011634827,0,0,0,0,0,0,0,1.68099999427795,0,0,0,0,17.3310003280639,22.2930002212524,15.7720003128052,18.8910000324249,19.0490002632141,17.3729996681214,13.9829998016358,15.7039999961853,16.0290002822876,17.5960001945496,16.9670002460479,21.6220002174377,20.268000125885,8.88400030136108,14.9659998416901,19.3950004577637,9.70499992370606,16.5510005950928,20.4239997863769,12.5889999866486,16.0689997673035,8.36000001430511,13.6640000343323,12.0480000972748,11.2080001831055,13.5659999847412,6.25499999523162,16.3699998855591,9.46400022506714,15.2170004844665,9.03000009059906,0.123000003397465,0,0,0,0.555000007152557,0.809000015258789,0,1.12800002098083,2.65899991989136,0,1.84899997711182,0,0,0,0,0,0,0,0,0,1.20600001513958,0.935999989509583,0.693000018596649,1.16100001335144,0,0,0,0.222000002861023,0,0,0,22.6539998054505,18.7160000801086,4.11700010299683,0,16.1070003509522,19.8109998703003,18.6939997673035,13.6909996271133,3.5310001373291,18.6329998970032,8.80100011825561,13.2880001068115,9.70399975776673,19.2210001945496,15.3110003471374,14.0769996643066,13.3859996795655,16.1329996585846,15.4939999580383,8.29099988937378,12.684999704361,1.21899995207786,0,0,0,6.27300000190735,10.0889999866486,11.279000043869,14.0419998168945,1.817999958992,0,3.10400005429983,1.97699999809265,4.28200006484986,2.35199999809265,0.244000002741814,0.123000003397465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.54199999570846,0,0,0,0,0
1174,"P98234",100,18312,"G09",1.15199995040894,1.30599999427795,0,0,0,0,0,0,0,0,0.739000022411346,0,0,0,0,0,0,0,0.477999985218048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.859000027179718,0,0,0,0,0,0,0,0,0,0,0,0,1.45800003409386,0.666000008583069,0.352999985218048,0.646000027656555,0.577000021934509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546999990940094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601000010967255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46000003814697,0,0,0,0,0,0,0,0,0,0,0.833999991416931,0,0,0,0,0,0,0,0,0,0,0,1.01199996471405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,"P98234",100,18312,"G10",3.13899993896484,3.17499995231628,2.66899991035461,0.78600001335144,0,0,2.40499997138977,0,0,0,0,0.216000005602837,2.64599990844727,8.42899990081787,0,0,2.04500007629395,1.125,2.56199994683266,5.55999994277954,2.00399994850159,2.60700009763241,0,0,0,1.56500005722046,1.00999999046326,0,0,0,0,1.06400001049042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848999977111816,0,0,0,0.0900000035762787,0,0,0,0,0,0,0,2.51099997758866,1.3639999628067,3.74499996006489,0,0.337000012397766,0.91100001335144,0,0,1.03400003910065,0,0.149000003933907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
