chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48
1174,0,18312,A01,P98234,0,0,0,0,22.4392403125,0,0,0,21.006940625,0,0,0,0,0,9.8524365625,0,0,22.634540625,0,0,6.4887253125,3.993057625,0,8.5069375,3.3420128125,0,20.920140625,0,0,0,9.2230790625,0,0,6.8793365625,1.84461875,28.60244375,2.03993125,0,0,0,0,0,0,0,0.021701375,0,0,0,0
1174,0,18312,B01,P98234,0,0,0,16.9921971875,0,0,15.1258693125,0,0,0,0,17.2742971875,0,0,0,16.6232646875,0,0,8.07293125,8.485238875,15.364590625,2.061631875,0,0,0,14.7786525,2.0399309375,0,0,0,10.91578125,7.660594375,7.486975,2.92968575,8.4201385625,11.197915,3.38541875,0,0,0,0,0,0.021701375,0,0,0,0,0.021701375,0
1174,10,18312,C01,P98234,0,6.11979125,6.8359345,0,6.90104375,9.5268945,6.358496875,0,7.5954871875,0.651042625,0,11.28472575,0,0,0,9.309899375,0.4557290625,0,0,9.67881325,10.655371875,2.777777,2.32205,7.4218618125,7.508665625,7.4869696875,0,0,0,11.4583441875,0,12.6084990625,0,9.114570125,22.591161875,3.472220125,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18312,D01,P98234,0,0,7.8341846875,0,22.48263125,0,0.021701375,0,22.113709375,0.108506875,0,0,0,7.356770625,0.455728125,0,0,0,28.450525,0,0,0,0,28.103282625,0.021701375,0,0,25.3472275,0,11.3932375,0.368925,20.9635375,1.7144098125,21.1805345,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18312,E01,P98234,0,0,0,0,21.7230934375,0,8.159725,4.5789915625,6.532131875,4.7743045,21.83158125,0.086805625,9.1145948125,0,0,0,0,7.6388895,22.569434375,0,0,0,0,0,0,0,23.936637125,0,0,9.59201875,13.953975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0
1174,50,18312,F01,P98234,0,0.1953125,7.8342110625,0,0,0,22.2222148125,0,0,0,0,24.78298,0.520833125,0.021701375,8.6371540625,21.8099059375,0,0,0,0,0,7.66059625,8.65884,0,0,0,0.737846875,22.43925325,0,0,0,0,21.028665,36.7187329375,46.093723125,9.33159575,9.830726875,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,G01,P98234,0,20.3558978125,0,0,0,0,0,18.9019295,0,0,0,0,0,19.249131875,0,0,0,0,13.3029625,6.879343125,0,0,0,0,19.097228125,0,0,0,0,0.21701375,20.1605790625,0,5.013009375,13.8888971875,36.8272341875,0.2604165625,0,5.16493375,0,0,0,0,0,0,0,0,0,0,0
1174,100,18312,H01,P98234,0,0,0,0,0,21.8532971875,0,0,6.55381875,2.582465625,0,0,24.913159375,0,0,0,0,0,0,0,0,0,48.871521875,4.29686825,0,0,0,0,0,0,0,0,10.28645375,45.616321875,2.99478825,10.3949690625,12.543402125,4.036459375,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,A02,P98234,0,0,0,14.756928125,1.063368125,0,0,16.40628125,1.1718740625,0,0,0,0,15.88541875,0,0,0,16.623265625,0,0,0,15.8203215625,0,0,0,6.53211875,16.427971875,0,0,0,0,0,0,14.6701425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18312,B02,P98234,0,0,0,28.4722259375,0,0,0,0,0,0,0,15.8854271875,9.765628125,0,0,28.841146875,0,0,0,12.5217225,6.2717154375,22.873295,0,0,0,0,31.5755071875,0,0,0,29.86109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
