"chemical.id","conc","plate","well","t0","t1","t2","t3","t4","t5","t6","t7","t8","t9","t10","t11","t12","t13","t14","t15","t16","t17","t18","t19","t20","t21","t22","t23","t24","t25","t26","t27","t28","t29","t30","t31","t32","t33","t34","t35","t36","t37","t38","t39","t40","t41","t42","t43","t44","t45","t46","t47","t48","t49","t50","t51","t52","t53","t54","t55","t56","t57","t58","t59","t60","t61","t62","t63","t64","t65","t66","t67","t68","t69","t70","t71","t72","t73","t74","t75","t76","t77","t78","t79","t80","t81","t82","t83","t84","t85","t86","t87","t88","t89","t90","t91","t92","t93","t94","t95","t96","t97","t98","t99","t100","t101","t102","t103","t104","t105","t106","t107","t108","t109","t110","t111","t112","t113","t114","t115","t116","t117","t118","t119","t120","t121","t122","t123","t124","t125","t126","t127","t128","t129","t130","t131","t132","t133","t134","t135","t136","t137","t138","t139","t140","t141","t142","t143","t144","t145","t146","t147","t148","t149","t150","t151","t152","t153","t154","t155","t156","t157","t158","t159","t160","t161","t162","t163","t164","t165","t166","t167","t168","t169","t170","t171","t172","t173","t174","t175","t176","t177","t178","t179","t180","t181","t182","t183","t184","t185","t186","t187","t188","t189","t190","t191","t192","t193","t194","t195","t196","t197","t198","t199","t200","t201","t202","t203","t204","t205","t206","t207","t208","t209","t210","t211","t212","t213","t214","t215","t216","t217","t218","t219","t220","t221","t222","t223","t224","t225","t226","t227","t228","t229","t230","t231","t232","t233","t234","t235","t236","t237","t238","t239","t240","t241","t242","t243","t244"
1174,50,18208,"E11",0,0,0,0,0,0,0,0,0,0,0,0,2.70300006866455,6.75400018692016,0,0,1.01400005817413,5.38199996948242,5.17200016975402,0,0,0,0,0,8.05799984931946,12.0000002384186,9.97800016403198,7.67999982833862,0,0,16.8090000152588,5.4060001373291,15.210000038147,9.33699989318847,13.5370001792908,15.206000328064,9.03300023078918,18.6930003166198,14.3689999580383,9.87899971008301,12.0450000762939,8.20800018310547,16.9730000495911,14.0809998512268,9.85400009155273,17.6380000114441,13.7420001029968,12.7870001792908,3.12000006437302,12.092000246048,18.1640000343323,15.9890003204346,18.570999622345,14.2509999275208,20.7980000972747,10.6749997138977,11.3540000915527,13.9909996986389,13.7130002975463,15.9980001449584,16.0069999694824,0,5.40700006484985,0,0,0,0,0,2.8529999256134,0,9.50600004196167,5.47299980372191,5.29099988937378,5.22900009155273,4.20500004291534,7.14600014686585,8.95000004768371,0,0,2.05500003695488,10.4800002574921,0,1.58899994194507,9.12800025939942,0,3.70699995756149,9.13299989700317,5.11200010776519,5.98299980163574,11.4500002861023,21.7400003671646,12.6589999198914,12.5640001296997,8.30999994277954,13.0020003318787,14.3459997177124,17.5160000324249,15.4930000305176,9.28999996185303,11.4980001449585,17.8010005950928,18.2639999389648,17.2199993133545,6.49000000953674,18.1079998016358,17.3979997634887,11.9050002098083,10.7799997329712,14.1079998016357,15.5269994735718,10.8440001010895,19.473000049591,14.907000541687,20.4580001831055,18.1500000953674,14.1100001335144,15.5230002403259,12.4010000228882,13.1899995803833,12.7290000915527,11.4219996929169,6.66000008583069,1.625,7.33999991416931,4.29200005531311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6840000078082,3.42000007629395,2.10699993371964,6.1930000782013,1.43999999761582,4.79600012302398,2.85499998182058,0.834999978542328,8.43400001525879,7.99200010299683,3.7539999037981,16.8110004067421,7.87899994850159,12.1779999732971,7.20700001716613,15.7200002670288,9.69999980926513,14.0499997138977,8.51400017738343,2.45800009369851,0.973999977111816,11.1700000762939,13.4359998703003,7.88399982452392,4.55400022864341,10.2009997367859,9.03900003433228,11.7029995918274,6.79399991035461,7.70400011539459,0.354999989271164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5329999923706,3.04600010439754,5.6470000743866,0.572000026702881,4.42600011825561,11.1750001907349,8.43400007486343,5.50999999046326,5.51900005340577,4.40199995040894,12.1819996237755,7.81000018119812,6.62900018692016,11.1099996566772,15.8820004463196,6.16100001335144,12.6180000305176,8.7409999370575,13.6810002326966,9.66400003433227,12.9590002298356,14.9270000457764,11.0919997692108,13.2499995231628,12.7840003967285,9.06199979782104,12.7760004997254,13.2860000133514,3.87800008058548,0,0,0,0
1174,50,18208,"E12",0,0,0,0,0.123000003397465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07399988174438,2.77600002288818,2.29399991035461,0.837000012397766,0.61599999666214,0,1.09599995613098,1.15100002288818,2.92500004917384,4.05499982833862,7.08300018310547,15.5820000171661,15.1960000991822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74899995326996,0,1.04700005054474,0,0,15.816999912262,1.192999958992,0,0,0,0,0,0,0.275000005960464,2.97499990463257,5.34899997711181,22.1890001296997,4.95799990743399,1.34599995613098,0.912000000476837,0,4.64699983596802,5.04499995708466,0.526000022888184,6.25400018692017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14800000190735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619000017642975,0,0,0,0,0
1174,50,18208,"F01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137999996542931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62899994850159,0,0,0,2.04700005427003,0,0,0,0,0,0,0,0,0,0,1.55299997329712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18208,"F02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18208,"F03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02499997615814,7.29100000858307,20.871000289917,0.671000003814697,5.69200015068054,0,0,0,2.12199997901916,13.0120000839234,0,6.05700016021729,9.2649998664856,12.4679999351502,22.9819989204407,21.7360005378723,22.8419995307922,10.8039999008179,14.967999458313,16.3400001525879,15.3499995470047,16.423999786377,23.7700009346009,18.9289999008178,23.3480005264282,17.8700003623962,13.6470000743866,10.3090000152588,16.2829995155334,21.2810001373291,15.8289999961853,1.11600005626678,0.419999986886978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0349999666214,0,17.9839999675751,23.9830005168915,4.8439998626709,9.37400031089783,24.7100005149841,10.3200001716614,10.41100025177,20.3659996986389,14.6120002269745,16.4230003356934,22.5890002250671,17.9229998588562,23.9019999504089,12.5229997634888,17.5370001792908,16.3709998130798,16.6960005760193,22.75,14.0010004043579,14.9669995307922,13.6809997558594,17.4820003509521,19.6590003967285,22.9519991874695,21.6389999389649,17.8439998626709,21.355999469757,6.21699982881546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.30200016498566,5.84899991750717,3.74100005626678,12.25,22.0980000495911,3.3199999332428,19.4699990749359,14.7570004463195,0,0,0,0,0,10.5999999046326,14.2829995155335,9.08100005239248,3.15799987316132,16.8680000305175,22.5159993171692,13.8229999542236,0,19.6799998283387,17.5809998512268,17.1829996109009,17.8760004043579,9.08500003814697,12.603000164032,13.8909997940064,11.8060002326965,7.72700023651123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3570003509521,19.2589998245239,18.0680000782013,15.4039998054504,11.1779999732971,11.356999874115,15.105000257492,15.5830001831055,13.2900002002716,17.8620004653931,11.0080003738403,15.4170002937317,10.8029999732971,12.1990003585815,16.0149998664856,15.4929995536804,19.7019996643066,13.5069999694824,29.6609997749328,21.0799999237061,19.8580002784729,17.5249996185303,13.2259998321533,16.5320000648499,25.7919993400574,14.2430000305176,18.9879994392395,22.9140005111694,11.5069999694824,0,0,0,0
