chemical.id,conc,plate.id,well,bottle.id,remove,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49
1174,10,18206,D03,C43518,0,7.747385313,0,3.23351,0,0,0,0,0,0,8.615450625,0,0,0,6.8142375,0,0,0,0.325521875,5.360244063,0,0,6.206597625,0,0,4.947916688,0,0,0,6.87933875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E03,C43518,0,0,0,0,10.56858713,0,0,0,0,0,0,0,0,0,0,10.54687419,0,0,2.82118125,4.665797188,0,0,0,0,0,4.709203063,0,0.1953125,9.223087125,0,0,0,0,0,0,9.114584375,0,0,0,0,0,0,0,0,12.21788094,0.238715125,0,0,0,0
1174,50,18206,F03,C43518,0,0,18.53298888,0,0,0,0,0,0,0,0,0,15.49480313,0.368923438,0.086805625,10.19966781,0,0,0,0,0,17.40452013,0,0,0,0,12.13106875,3.86284825,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G03,C43518,0,0,0,0,0,3.16840375,6.249992813,0,0,0,0,0,0,0,9.96095,1.757811188,0,8.44185,1.2586795,5.381945,1.019965,0,0,0,0,0,0,10.7421875,3.42881825,0,8.61544125,0.238715313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H03,C43518,0,0,0,0,0,0,0,0,0,0,0,0,0,7.790796875,0.043402813,0,0,0,0,0,0,0,0,0,0,6.032985438,8.029509375,2.343750938,0,0,0,0,0,0,5.772567938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,A04,C43518,0,0,12.93403406,0.086805625,0,0,0,15.0390545,0.260416563,0,0,0,0,0,10.32986981,1.171875,0,0,0,0,15.58160781,0,0,0,0,0,0,12.69530781,0,0,0,0,0,33.96269625,1.432292625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B04,C43518,0,21.59289781,0,0,0,0,0,0,0,20.42102031,0.520834375,0,0,0,0,0,0,22.026905,0,0,7.00955825,34.44010669,0,0,0,0,0,0,0,0,0,7.313368563,0.151909813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C04,C43518,0,5.447047,0,0,0,0,0,0,44.379325,0.065104063,21.94008406,0,0,0,0,0,0,0,0,11.52344063,0.086805625,22.8732525,0,0,0,0,0,0,0,0,11.67534438,0,10.41665,40.234377,37.5434125,22.69964688,0.80295275,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0
1174,10,18206,D04,C43518,0,0,0,9.02778125,6.206595125,0,0,0,0,0,0,0,0,4.926215625,1.67100625,0,0,0,0,0,0,0,0,0,0,0,11.43664375,1.996527625,0,0,0,0,0,2.32204825,4.535588563,0,0,0.021701375,0,0,0,0,0,0,13.60678306,0,0,0,0,0
1174,50,18206,E04,C43518,0,0,0,0,0,3.320314375,0.412326375,0,3.450521563,0.455729063,6.423624688,0.282117875,3.993054375,0.347222188,0,0.021701375,0,0,0,0,4.622395875,0.412326375,0,0,0,0,0,0,4.578991375,1.953124688,5.902785438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,F04,C43518,0,0,0,0,18.12067431,8.376722813,0.325521063,0,0,0,0,15.12587594,0,0,0,9.939250938,0,0,0,16.68838844,0,0,0,0,6.358507188,0,0,14.08419625,1.51909625,10.63366938,0,0,0,0,17.79511594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G04,C43518,0,5.577253125,0.499131688,0,8.3333125,3.342015125,0,0,0,0,0,0,0,8.398429188,0,0,8.96265825,0,0,0,0,0,7.09635575,0,0,0,6.857635625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,H04,C43518,0,4.10155625,1.671006375,0,11.74047469,0.151909688,0,0,11.61024969,0.325520875,0,0,0,0,14.27951906,0,0,5.034722938,12.84722513,0.043402813,0,0,0,0,4.9045125,1.736112313,0,0,0,0,8.984387,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,A05,C43518,0,0,21.83158688,0,0,0,0,0,0,23.52430338,0,0,0,11.67536406,2.148437625,0,0,0,0,0,0,16.71006006,0.021701375,0,19.85674188,0,0,0,0,0,25.1085,0.5859375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,0,18206,B05,C43518,0,0,0,0,0,0,0,0,0,11.11113344,0,0,12.15279406,0.347222188,0,4.665800563,0,0,0,0,10.82899844,4.383678125,0.108506938,0,0,0,0.108506875,3.1249985,0,0,8.11631625,1.80121575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,C05,C43518,0,0,0,11.93575,0.021701375,0,0,19.98698031,0,0,8.4635295,2.821182188,0,0,0,21.57118438,0,0,0,0,0,8.311618438,0.585936375,0,20.85502219,0,0,0,0,0,9.895857313,0.021701375,0,7.248257313,2.039932,10.95919625,11.76213813,11.93576969,0,0,0,0,0,0,0,0,0,0,0,0
1174,10,18206,D05,C43518,0,0,0,15.6466875,0,3.94965375,0,0,0,0,0,0,0,0.021701375,0,0,4.947902938,0,0,5.815968125,0,0,0,19.05381388,0,11.19790625,0,0,0,7.855902313,0,0,0,0,14.88713281,0,0,5.946184938,0,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,E05,C43518,0,0,15.0390545,0.846354938,0,0,9.700536375,0,0,0,13.10763125,1.171873563,0,0,0,15.7768975,0,0,0,0,15.29946688,0,0,4.578992813,0,0,0,2.36545,5.49045125,0,15.950499,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0
1174,50,18206,F05,C43518,0,0,0,0,0,0,18.53298875,0.282118125,0,0,0,0,0,12.06597563,7.63889125,0,0,0,0,17.73004813,0.065104063,0,0,0,2.495658438,2.777778875,0,10.4600715,0,0,0,0,0,20.05205606,38.58512281,34.44011938,41.94876813,3.5156245,0,0,0,0,0,0,0,0,0,0,0,0
1174,100,18206,G05,C43518,0,0,0,8.485260125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.814247813,0.69444375,0,0,0,0,0,0,5.3602375,0.303819375,0,0,0,0,8.24653325,0,0,0,0,0,0,0,0,0,8.485255,0,0,0,0,0
1174,100,18206,H05,C43518,0,0,0,0,0,0.021701375,0,20.72480313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,12.17448094,0,0,0,0,0,0,0,0,0,0,0,0,0.021701375,0,0,0,0,0,0,0,0,0,0,0,0,0
