"chemical.id","chemical.name","ks.pval","delta","n.fish","n.MO24","perc.MO24","ordinality","binary","B","E","R"
"1174","Benzo[a]pyrene",0.000203246067824847,1.1959930548329,142,8,5.63380281690141,2,1,NA,5,NA
"1174","Benzo[a]pyrene",NA,NA,NA,NA,NA,0,0,NA,NA,NA
