"conc","well","chemical.id","plate.id","Interval","Movement"
" 0","A01","1174","19737","B",3.54697209027778
" 0","A02","1174","19737","B",0.959683638888889
" 0","A03","1174","19737","B",0.667920333333333
" 0","A04","1174","19737","B",2.22318649305556
" 0","A05","1174","19737","B",2.01822945833333
" 0","A06","1174","19737","B",1.56491200694444
" 0","A07","1174","19737","B",1.80121366666667
" 0","A08","1174","19737","B",1.81085954166667
" 0","A09","1174","19737","B",1.02961047222222
" 0","A10","1174","19737","B",2.15325997916667
" 0","A11","1174","19737","B",1.62760404861111
" 0","A12","1174","19737","B",1.22492302777778
" 0","B01","1174","19737","B",4.41020695138889
" 0","B02","1174","19737","B",3.04060446527778
" 0","B03","1174","19737","B",2.39679778472222
" 0","B04","1174","19737","B",2.26900323611111
" 0","B05","1174","19737","B",2.48360436805556
" 0","B06","1174","19737","B",2.469136875
" 0","B07","1174","19737","B",4.91174835416667
" 0","B08","1174","19737","B",3.95206275694444
" 0","B09","1174","19737","B",4.33304493055556
" 0","B10","1174","19737","B",1.37442247916667
" 0","B11","1174","19737","B",1.55285566666667
" 0","B12","1174","19737","B",1.67100655555556
" 0","A01","1174","19738","B",0.540123541666667
" 0","A02","1174","19738","B",1.15981867361111
" 0","A03","1174","19738","B",0.0892168055555556
" 0","A04","1174","19738","B",0.795717152777778
" 0","A05","1174","19738","B",1.16946323611111
" 0","A06","1174","19738","B",0.402680895833333
" 0","A07","1174","19738","B",2.38233088194444
" 0","A08","1174","19738","B",1.8687305625
" 0","A09","1174","19738","B",1.73852259027778
" 0","A10","1174","19738","B",1.04166708333333
" 0","A11","1174","19738","B",0.231481819444444
" 0","A12","1174","19738","B",0.154321125
" 0","B01","1174","19738","B",1.20804390277778
" 0","B02","1174","19738","B",1.27314865277778
" 0","B03","1174","19738","B",1.28761596527778
" 0","B04","1174","19738","B",0.5811145625
" 0","B05","1174","19738","B",0.937982145833333
" 0","B06","1174","19738","B",4.98649864583333
" 0","B07","1174","19738","B",0.853587833333333
" 0","B08","1174","19738","B",0.356867368055556
" 0","B09","1174","19738","B",0.904224277777778
" 0","B10","1174","19738","B",2.77295529861111
" 0","B11","1174","19738","B",0.708912534722222
" 0","B12","1174","19738","B",1.51186208333333
" 0","A01","1174","19842","B",1.81568289583333
" 0","A02","1174","19842","B",2.62586680555556
" 0","A04","1174","19842","B",2.94174425
" 0","A05","1174","19842","B",1.26591458333333
" 0","A08","1174","19842","B",3.72299349305556
" 0","A09","1174","19842","B",2.07851170138889
" 0","A10","1174","19842","B",1.73128915972222
" 0","A11","1174","19842","B",3.05748671527778
" 0","A12","1174","19842","B",3.24556457638889
" 0","B01","1174","19842","B",2.46672772222222
" 0","B03","1174","19842","B",5.41811127777778
" 0","B04","1174","19842","B",4.49460398611111
" 0","B05","1174","19842","B",3.35648302083333
" 0","B07","1174","19842","B",5.18662719444444
" 0","B09","1174","19842","B",5.52179784027778
" 0","B11","1174","19842","B",3.0960640625
" 0","B12","1174","19842","B",1.78433629166667
" 0","A01","1174","19843","B",0.436439027777778
" 0","A02","1174","19843","B",1.08507006944444
" 0","A03","1174","19843","B",0
" 0","A04","1174","19843","B",0.207368881944444
" 0","A05","1174","19843","B",0.161554826388889
" 0","A06","1174","19843","B",1.09712579166667
" 0","A07","1174","19843","B",0.516011138888889
" 0","A10","1174","19843","B",1.24180176388889
" 0","A12","1174","19843","B",1.05131238194444
" 0","B02","1174","19843","B",2.00858418055556
" 0","B03","1174","19843","B",1.499804125
" 0","B04","1174","19843","B",1.5432095625
" 0","B06","1174","19843","B",1.42023553472222
" 0","B07","1174","19843","B",1.35754225
" 0","B08","1174","19843","B",1.18393092361111
" 0","B09","1174","19843","B",2.69097122222222
" 0","B10","1174","19843","B",1.72405515277778
" 0","B11","1174","19843","B",0.653452902777778
" 0","B12","1174","19843","B",0.176022375
" 0","A01","1174","19902","B",3.00684883333333
" 0","A03","1174","19902","B",0.836709055555556
" 0","A04","1174","19902","B",0.364100972222222
" 0","A05","1174","19902","B",0.361690125
" 0","A06","1174","19902","B",1.40094579861111
" 0","A07","1174","19902","B",0.641396680555556
" 0","A08","1174","19902","B",0.771605326388889
" 0","A09","1174","19902","B",0.815007493055556
" 0","A10","1174","19902","B",0.593170847222222
" 0","A11","1174","19902","B",0.238715173611111
" 0","A12","1174","19902","B",1.10194879861111
" 0","B01","1174","19902","B",0.807773548611111
" 0","B02","1174","19902","B",0.747492729166667
" 0","B03","1174","19902","B",0.489487118055556
" 0","B04","1174","19902","B",1.27073715277778
" 0","B05","1174","19902","B",0.323109875
" 0","B06","1174","19902","B",0.270061638888889
" 0","B07","1174","19902","B",0.426794076388889
" 0","B08","1174","19902","B",1.05613440972222
" 0","B09","1174","19902","B",1.44434763194444
" 0","B10","1174","19902","B",0.436439527777778
" 0","B11","1174","19902","B",0.190489958333333
" 0","B12","1174","19902","B",0.262827895833333
" 0","A01","1174","19903","B",0.605227736111111
" 0","A02","1174","19903","B",1.02237671527778
" 0","A03","1174","19903","B",3.13223353472222
" 0","A04","1174","19903","B",1.09953696527778
" 0","A05","1174","19903","B",1.68065125
" 0","A06","1174","19903","B",1.97482597916667
" 0","A07","1174","19903","B",0.819830048611111
" 0","A08","1174","19903","B",0.921103715277778
" 0","A09","1174","19903","B",0.988620263888889
" 0","A10","1174","19903","B",1.72887699305556
" 0","A11","1174","19903","B",0.58111375
