"chemical.id","chemical.name","endpoint","ECvalues","Value","Std..Error","Lower","Upper","Comments"
"P215706_20220506","Benzo[a]pyrene","MORT",NA,NA,NA,NA,NA,NA
"P215706_20220506","Benzo[a]pyrene","any.effect",NA,NA,NA,NA,NA,NA
