"chemical.id","conc","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","any.effect"
"P215706_20220506","0","215",210,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P215706_20220506","1","213",212,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P215706_20220506","5","214",209,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P215706_20220506","10","15",174,174,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"23"
